logg,Teff,Z,xi,u,Filt,Met,Mod
3.5,2000,0,2,1.0317,I,L,P
4,2000,0,2,1.0139,I,L,P
4.5,2000,0,2,1.0075,I,L,P
5,2000,0,2,1.0012,I,L,P
3.5,2200,0,2,1.0385,I,L,P
4,2200,0,2,1.0165,I,L,P
4.5,2200,0,2,1.0127,I,L,P
5,2200,0,2,1.0074,I,L,P
3.5,2400,0,2,1.0149,I,L,P
4,2400,0,2,0.9939,I,L,P
4.5,2400,0,2,0.9945,I,L,P
5,2400,0,2,0.9929,I,L,P
3.5,2600,0,2,0.9136,I,L,P
4,2600,0,2,0.9253,I,L,P
4.5,2600,0,2,0.9202,I,L,P
5,2600,0,2,0.932,I,L,P
3.5,2800,0,2,0.7776,I,L,P
4,2800,0,2,0.8126,I,L,P
4.5,2800,0,2,0.8132,I,L,P
5,2800,0,2,0.8272,I,L,P
3.5,3000,0,2,0.7109,I,L,P
4,3000,0,2,0.681,I,L,P
4.5,3000,0,2,0.681,I,L,P
5,3000,0,2,0.712,I,L,P
3.5,3200,0,2,0.7228,I,L,P
4,3200,0,2,0.6527,I,L,P
4.5,3200,0,2,0.619,I,L,P
5,3200,0,2,0.6101,I,L,P
3.5,3400,0,2,0.7791,I,L,P
4,3400,0,2,0.6769,I,L,P
4.5,3400,0,2,0.6019,I,L,P
5,3400,0,2,0.5647,I,L,P
3.5,3600,0,2,0.8381,I,L,P
4,3600,0,2,0.7247,I,L,P
4.5,3600,0,2,0.6097,I,L,P
5,3600,0,2,0.5442,I,L,P
3.5,3800,0,2,0.8771,I,L,P
4,3800,0,2,0.7612,I,L,P
4.5,3800,0,2,0.6389,I,L,P
5,3800,0,2,0.5377,I,L,P
3.5,4000,0,2,0.6632,I,L,P
4,4000,0,2,0.7076,I,L,P
4.5,4000,0,2,0.67,I,L,P
5,4000,0,2,0.5546,I,L,P
3.5,4200,0,2,0.6214,I,L,P
4,4200,0,2,0.6849,I,L,P
4.5,4200,0,2,0.7162,I,L,P
5,4200,0,2,0.6109,I,L,P
3.5,4400,0,2,0.6054,I,L,P
4,4400,0,2,0.6622,I,L,P
4.5,4400,0,2,0.6395,I,L,P
5,4400,0,2,0.6569,I,L,P
3.5,4600,0,2,0.582,I,L,P
4,4600,0,2,0.6442,I,L,P
4.5,4600,0,2,0.6155,I,L,P
5,4600,0,2,0.6181,I,L,P
3.5,4800,0,2,0.5641,I,L,P
4,4800,0,2,0.6304,I,L,P
4.5,4800,0,2,0.5989,I,L,P
5,4800,0,2,0.593,I,L,P
3.5,5000,0,2,0.5546,I,L,P
4,5000,0,2,0.5793,I,L,P
4.5,5000,0,2,0.5711,I,L,P
5,5000,0,2,0.5724,I,L,P
3.5,5200,0,2,0.5362,I,L,P
4,5200,0,2,0.5605,I,L,P
4.5,5200,0,2,0.5543,I,L,P
5,5200,0,2,0.5561,I,L,P
3.5,5400,0,2,0.5186,I,L,P
4,5400,0,2,0.5423,I,L,P
4.5,5400,0,2,0.5374,I,L,P
5,5400,0,2,0.5398,I,L,P
3.5,5600,0,2,0.5034,I,L,P
4,5600,0,2,0.5265,I,L,P
4.5,5600,0,2,0.5217,I,L,P
5,5600,0,2,0.5242,I,L,P
3.5,5800,0,2,0.4894,I,L,P
4,5800,0,2,0.5116,I,L,P
4.5,5800,0,2,0.507,I,L,P
5,5800,0,2,0.5092,I,L,P
3.5,7000,0,2,0.4246,I,L,P
4,7000,0,2,0.4477,I,L,P
4.5,7000,0,2,0.4397,I,L,P
5,7000,0,2,0.4384,I,L,P
3.5,7200,0,2,0.4166,I,L,P
4,7200,0,2,0.4373,I,L,P
4.5,7200,0,2,0.4311,I,L,P
5,7200,0,2,0.4297,I,L,P
3.5,7400,0,2,0.4106,I,L,P
4,7400,0,2,0.4309,I,L,P
4.5,7400,0,2,0.4229,I,L,P
5,7400,0,2,0.4214,I,L,P
3.5,7600,0,2,0.4012,I,L,P
4,7600,0,2,0.4212,I,L,P
4.5,7600,0,2,0.4148,I,L,P
5,7600,0,2,0.4133,I,L,P
3.5,7800,0,2,0.3926,I,L,P
4,7800,0,2,0.4123,I,L,P
4.5,7800,0,2,0.4092,I,L,P
5,7800,0,2,0.4054,I,L,P
3.5,8000,0,2,0.3829,I,L,P
4,8000,0,2,0.4038,I,L,P
4.5,8000,0,2,0.3997,I,L,P
5,8000,0,2,0.3992,I,L,P
3.5,8200,0,2,0.3726,I,L,P
4,8200,0,2,0.3968,I,L,P
4.5,8200,0,2,0.391,I,L,P
5,8200,0,2,0.3911,I,L,P
3.5,8400,0,2,0.3659,I,L,P
4,8400,0,2,0.3947,I,L,P
4.5,8400,0,2,0.3822,I,L,P
5,8400,0,2,0.3825,I,L,P
3.5,8600,0,2,0.3587,I,L,P
4,8600,0,2,0.3778,I,L,P
4.5,8600,0,2,0.375,I,L,P
5,8600,0,2,0.3739,I,L,P
3.5,8800,0,2,0.3508,I,L,P
4,8800,0,2,0.3618,I,L,P
4.5,8800,0,2,0.369,I,L,P
5,8800,0,2,0.3651,I,L,P
3.5,9000,0,2,0.35,I,L,P
4,9000,0,2,0.3512,I,L,P
4.5,9000,0,2,0.3444,I,L,P
5,9000,0,2,0.3531,I,L,P
3.5,9200,0,2,0.3427,I,L,P
4,9200,0,2,0.3482,I,L,P
4.5,9200,0,2,0.3379,I,L,P
5,9200,0,2,0.3423,I,L,P
3.5,9400,0,2,0.3387,I,L,P
4,9400,0,2,0.343,I,L,P
4.5,9400,0,2,0.3315,I,L,P
5,9400,0,2,0.3287,I,L,P
3.5,9600,0,2,0.3333,I,L,P
4,9600,0,2,0.3362,I,L,P
4.5,9600,0,2,0.3256,I,L,P
5,9600,0,2,0.3231,I,L,P
3.5,9800,0,2,0.3308,I,L,P
4,9800,0,2,0.3321,I,L,P
4.5,9800,0,2,0.3216,I,L,P
5,9800,0,2,0.3163,I,L,P
